A,B
76,56
27,25
93,69
67,50
96,35
57,55
83,59
42,10
56,45
35,39
93,11
88,93
46,78
90,40
78,17
59,70
65,75
77,86
12,77
94,54
49,61
76,17
94,98
57,80
71,23
58,38
17,73
62,94
95,46
37,50
44,98
86,73
50,68
13,87
79,18
74,88
85,16
44,75
68,80
20,50
32,84
87,86
28,86
25,35
37,17
40,23
62,54
80,11
36,51
90,88
16,66
24,97
85,73
64,13
81,27
11,98
53,97
68,79
65,60
35,12
60,28
94,56
66,55
59,67
22,45
28,28
91,56
11,64
61,83
54,91
58,72
66,77
59,21
96,36
13,85
77,20
21,13
31,55
99,68
13,69
21,33
13,35
16,37
19,67
97,13
24,88
93,95
80,69
22,58
64,66
37,97
48,97
27,14
71,79
84,66
75,70
57,19
26,76
15,43
96,79
